timestamp,date,provider,model,category,query,run,brand,mentioned,first_position,count,in_mention_order,mention_rank
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,OpenAI,True,174.0,6,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,Anthropic,True,871.0,2,True,3.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,Google,True,446.0,3,True,2.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,Meta,True,1047.0,2,True,4.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,Cohere,True,1247.0,2,True,5.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,Mistral,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,0,xAI,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,OpenAI,True,183.0,4,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,Anthropic,True,838.0,2,True,4.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,Google,True,399.0,2,True,2.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,Meta,True,632.0,3,True,3.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,Cohere,True,1000.0,2,True,5.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,Mistral,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,1,xAI,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,OpenAI,True,195.0,4,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,Anthropic,True,596.0,4,True,3.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,Google,True,404.0,2,True,2.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,Meta,True,920.0,3,True,5.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,Cohere,True,751.0,2,True,4.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,Mistral,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,What are the best LLM providers available today?,2,xAI,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,OpenAI,True,140.0,4,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,Anthropic,True,701.0,2,True,3.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,Google,True,417.0,2,True,2.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,Meta,True,941.0,2,True,4.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,Cohere,True,1356.0,1,True,5.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,Mistral,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,0,xAI,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,OpenAI,True,157.0,5,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,Anthropic,True,503.0,2,True,3.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,Google,True,340.0,1,True,2.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,Meta,True,800.0,2,True,5.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,Cohere,True,660.0,1,True,4.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,Mistral,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,1,xAI,False,,0,False,
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,2,OpenAI,True,143.0,4,True,1.0
2025-10-25T20:36:53.012227,2025-10-25,openai,gpt-4o,general,Which AI companies offer the most advanced language models?,2,Anthropic,True,769.0,2,True,3.0
